ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
systemic lupus erythematosis/sle	systemic lupus erythematosus	EFO_0002690	Exact	20002_1381
sjogren's syndrome/sicca syndrome	Sjogren syndrome	EFO_0000699	Exact	20002_1382
scleroderma/systemic sclerosis	scleroderma  || systemic scleroderma	"EFO_1001993, EFO_0000717"	Exact	20002_1384
allergy or anaphylactic reaction to food	food allergy	EFO_1001890	Exact	20002_1385
hayfever/allergic rhinitis	seasonal allergic rhinitis  || allergic rhinitis	"EFO_0003956, EFO_0005854"	Exact	20002_1387
pneumonia	pneumonia	EFO_0003106	Exact	20002_1398
peptic ulcer	peptic ulcer	HP_0004398	Exact	20002_1400
endometriosis	endometriosis	EFO_0001065	Exact	20002_1402
female infertility	female infertility	EFO_0008560	Exact	20002_1403
alcohol dependency	alcohol dependence	EFO_0003829	Exact	20002_1408
ear/vestibular disorder	auditory system disease	EFO_1001455	Broad	20002_1415
chronic sinusitis	sinusitis	EFO_0007486	Broad	20002_1416
nasal polyps	nasal cavity polyp	EFO_1000391	Exact	20002_1417
otosclerosis	otosclerosis	EFO_0004213	Exact	20002_1420
meniere's disease	Meniere disease	EFO_0006862	Exact	20002_1421
cerebral aneurysm	brain aneurysm	EFO_0003870	Exact	20002_1425
myocarditis	myocarditis	EFO_0009609	Exact	20002_1426
polycystic kidney	polycystic kidney disease	EFO_0008620	Exact	20002_1427
thyroiditis	thyroid disease	EFO_1000627	Exact	20002_1428
hypopituitarism	hypopituitarism	EFO_0001380	Exact	20002_1430
cerebral palsy	cerebral palsy	EFO_1000632	Exact	20002_1433
optic neuritis	optic neuritis	EFO_0007405	Exact	20002_1435
headaches (not migraine)	headache	HP_0002315	Exact	20002_1436
myasthenia gravis	myasthenia gravis	EFO_0004991	Exact	20002_1437
polycythaemia vera	polycythemia vera	EFO_0002429	Exact	20002_1438
hiv/aids	HIV infection  || AIDS	"EFO_0000764, EFO_0000765"	Exact	20002_1439
tuberculosis (tb)	tuberculosis	Orphanet_3389	Exact	20002_1440
malaria	malaria	EFO_0001068	Exact	20002_1441
helicobacter pylori	Helicobacter pylori	NCBITaxon_210	Exact	20002_1442
anaemia	anemia	EFO_0004272	Exact	20002_1446
neutropenia/lymphopenia	neutropenia  || lymphopenia	"HP_0001875, HP_0001888"	Exact	20002_1448
eczema/dermatitis	eczema	HP_0000964	Exact	20002_1452
psoriasis	psoriasis	EFO_0000676	Exact	20002_1453
chronic skin ulcers	chronic ulcer of skin	EFO_0007066	Exact	20002_1455
malabsorption/coeliac disease	celiac disease	EFO_0001060	Exact	20002_1456
duodenal ulcer	duodenal ulcer	EFO_0004607	Exact	20002_1457
diverticular disease/diverticulitis	diverticulitis	EFO_1001460	Exact	20002_1458
colitis/not crohns or ulcerative colitis	colitis	EFO_0003872	Exact	20002_1459
rectal or colon adenoma/polyps	adenomatous colon polyp	EFO_1000633	Exact	20002_1460
inflammatory bowel disease	inflammatory bowel disease	EFO_0003767	Exact	20002_1461
crohns disease	Crohn's disease	EFO_0000384	Exact	20002_1462
ulcerative colitis	ulcerative colitis	EFO_0000729	Exact	20002_1463
rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Exact	20002_1464
osteoarthritis	osteoarthritis	EFO_0002506	Exact	20002_1465
gout	gout	EFO_0004274	Exact	20002_1466
post-traumatic stress disorder	post-traumatic stress disorder	EFO_0001358	Exact	20002_1469
anorexia/bulimia/other eating disorder	eating disorder	EFO_0005203	Broad	20002_1470
atrial fibrillation	atrial fibrillation	EFO_0000275	Exact	20002_1471
emphysema	emphysema	EFO_0000464	Exact	20002_1472
high cholesterol	hypercholesterolemia	HP_0003124	Exact	20002_1473
hiatus hernia	hiatus hernia	HP_0002036	Exact	20002_1474
sciatica	sciatica	HP_0011868	Exact	20002_1476
psoriatic arthropathy	psoriatic arthritis	EFO_0003778	Exact	20002_1477
rheumatic fever	rheumatic fever	EFO_1001160	Exact	20002_1479
chronic fatigue syndrome	chronic fatigue syndrome	EFO_0004540	Exact	20002_1482
irregular heart beat	cardiac arrhythmia	EFO_0004269	Exact	20002_1485
brain haemorrhage	intracranial hemorrhage	EFO_0000551	Exact	20002_1491
varicose veins	varicose veins	HP_0002619	Exact	20002_1494
lymphoedema	lymphedema	Orphanet_79383	Exact	20002_1495
pneumothorax	pneumothorax	HP_0002107	Exact	20002_1497
labyrinthitis	labyrinthitis	EFO_0009604	Exact	20002_1499
vertigo	vertigo	HP_0002321	Exact	20002_1500
pyloric stenosis	pyloric stenosis	EFO:0009626	Exact	20002_1501
appendicitis	appendicitis	EFO_0007149	Exact	20002_1502
anal fissure	anal fissure	HP_0012390	Exact	20002_1504
haemorrhoids / piles	hemorrhoid	EFO_0009552	Exact	20002_1505
jaundice (unknown cause)	jaundice	HP_0000952	Exact	20002_1508
gastroenteritis/dysentry	gastroenteritis  || dysentery	"EFO_1001463, EFO_1001869"	Exact	20002_1509
dyspepsia / indigestion	dyspepsia	EFO_0008533	Exact	20002_1510
abdominal hernia	hernia of the abdominal wall	HP_0004299	Exact	20002_1511
umbilical hernia	umbilical hernia	HP_0001537	Exact	20002_1512
inguinal hernia	inguinal hernia	HP_0000023	Exact	20002_1513
cystitis	cystitis	EFO_1000025	Exact	20002_1514
bph / benign prostatic hypertrophy	benign prostatis hypertrophy	EFO_0000284	Exact	20002_1516
prostatitis	prostatitis	EFO_0003830	Exact	20002_1517
erectile dysfunction / impotence	erectile dysfunction	EFO_0004234	Exact	20002_1518
grave's disease	Graves disease	EFO_0004237	Exact	20002_1522
trigemminal neuralgia	trigeminal neuralgia	EFO_1001219	Exact	20002_1523
benign / essential tremor	essential tremor	EFO_0003108	Exact	20002_1525
polio / poliomyelitis	poliomyelitis	EFO_0007450	Exact	20002_1526
dry eyes	dry eye syndrome	EFO_1000906	Exact	20002_1529
iritis	iritis	EFO_1000997	Exact	20002_1530
post-natal depression	postpartum depression	EFO_0007453	Exact	20002_1531
disc degeneration	lumbar disc degeneration	EFO_0004994	Exact	20002_1533
back pain	back pain	HP_0003418	Exact	20002_1534
scoliosis	scoliosis	EFO_0004273	Exact	20002_1535
spinal stenosis	spinal stenosis	EFO_0007490	Exact	20002_1536
joint pain	arthralgia	HP_0002829	Exact	20002_1537
arthritis (nos)	arthritis	EFO_0005856	Exact	20002_1538
plantar fascitis	plantar fasciitis	EFO_1001909	Exact	20002_1540
carpal tunnel syndrome	carpal tunnel syndrome	EFO_0004143	Exact	20002_1541
fibromyalgia	fibromyalgia	EFO_0005687	Exact	20002_1542
dupuytren's contracture	Dupuytren contracture	EFO_0004229	Exact	20002_1544
acne/acne vulgaris	acne	EFO_0003894	Exact	20002_1548
lichen planus	lichen planus	EFO_1000726	Exact	20002_1549
lichen sclerosis	lichen disease	EFO_1000724	Broad	20002_1550
cervical intra-epithelial neoplasia (cin) / precancerous cells cervix	dysplasia of cervix	EFO_1000910	Exact	20002_1554
menorrhagia (unknown cause)	menorrhagia	HP_0000132	Exact	20002_1556
ectopic pregnancy	ectopic pregnancy	HP_0031456	Exact	20002_1558
miscarriage	spontaneous abortion	EFO_1001255	Broad	20002_1559
breast fibroadenoma	Fibroadenoma	EFO_1000254	Exact	20002_1560
raynaud's phenomenon/disease	Raynaud disease	EFO_1001145	Exact	20002_1561
food intolerance	food allergy	EFO_1001890	Exact	20002_1562
urticaria	urticaria	EFO_0005531	Exact	20002_1563
infectious mononucleosis / glandular fever / epstein barr virus (ebv)	infectious mononucleosis  || Epstein-Barr virus infection	"EFO_0007326, EFO_0000769"	Exact	20002_1567
measles / morbillivirus	measles	EFO_1002025	Exact	20002_1568
mumps / epidemic parotitis	mumps infectious disease	EFO_0007383	Exact	20002_1569
rubella / german measles	rubella	EFO_1002026	Exact	20002_1570
chickenpox	chickenpox	EFO_0007204	Exact	20002_1571
whooping cough / pertussis	whooping cough	EFO_0000650	Exact	20002_1572
shingles	Herpes Zoster	EFO_0006510	Exact	20002_1573
herpes simplex	herpes simplex infection	EFO_1002022	Exact	20002_1575
hepatitis a	hepatitis a	EFO_0007305	Exact	20002_1578
hepatitis b	hepatitis b infection	EFO_0004197	Exact	20002_1579
hepatitis c	hepatitis c infection	EFO_0003047	Exact	20002_1580
mitral regurgitation / incompetence	mitral valve disease	EFO_0009557	Broad	20002_1585
aortic regurgitation / incompetence	aortic valve insufficiency	EFO_0007148	Exact	20002_1587
hypertrophic cardiomyopathy (hcm / hocm)	hypertrophic cardiomyopathy	EFO_0000538	Exact	20002_1588
pericarditis	pericarditis	EFO_0007427	Exact	20002_1589
respiratory infection	pneumonia	EFO_0003106	Narrow	20002_1594
tinnitus / tiniitis	tinnitus	HP_0000360	Exact	20002_1597
tonsiltis	tonsillitis	HP_0011110	Exact	20002_1598
constipation	constipation	HP_0002019	Exact	20002_1599
rectal prolapse	rectal prolapse	HP_0002035	Exact	20002_1603
femoral hernia	femoral hernia	EFO_1001791	Exact	20002_1605
incisional hernia	incisional hernia	HP_0004872	Exact	20002_1606
nephritis	nephritis	EFO_1002050	Exact	20002_1608
thyroid goitre	goiter	EFO_0004283	Exact	20002_1610
blepharitis / eyelid infection	blepharitis	EFO_0009536	Exact	20002_1613
obsessive compulsive disorder (ocd)	obsessive-compulsive disorder	EFO_0004242	Exact	20002_1615
insomnia	insomnia	EFO_0004698	Exact	20002_1616
osteopenia	osteopenia	HP_0000938	Exact	20002_1617
tendonitis / tendinitis / tenosynovitis	tendinopathy  || tenosynovitis	"EFO_1001434, EFO_1001435"	Exact	20002_1619
bursitis	frozen shoulder	EFO_1000941	Exact	20002_1620
tennis elbow / lateral epicondylitis	lateral epicondylitis	EFO_1001896	Exact	20002_1623
cellulitis	cellulitis	EFO_0003035	Exact	20002_1625
fracture skull / head	skull fractures	EFO_1001425	Exact	20002_1626
fracture radius	radius fracture	EFO_0003957	Exact	20002_1635
fracture ulna	ulna fracture	EFO_0003950	Exact	20002_1636
fracture tibia	tibia fracture	EFO_0003944	Exact	20002_1652
septicaemia / sepsis	sepsis	HP_0100806	Exact	20002_1657
meningioma / benign meningeal tumour	meningioma	Orphanet_2495	Exact	20002_1659
rosacea	rosacea	EFO_1000760	Exact	20002_1660
vitiligo	vitiligo	EFO_0004208	Exact	20002_1661
cervical erosion	cervix erosion	EFO_1000862	Exact	20002_1662
dysmenorrhoea / dysmenorrhea	dysmenorrhea	HP_0100607	Exact	20002_1664
menopausal symptoms / menopause	menopause	EFO_0003922	Exact	20002_1665
alopecia / hair loss	alopecia	Orphanet_79364	Exact	20002_1667
scarlet fever / scarlatina	scarlet fever	EFO_0007477	Exact	20002_1677
undescended testicle	cryptorchidism	EFO_0004562	Exact	20002_1679
Hearing difficulty/problems: Yes	hearing loss	EFO_0004238	Exact	2247_1
Comparative height size at age 10	body height	EFO_0004339	Broad	1697
Miserableness	emotional symptom measurement	EFO_0007803	Broad	1930
Sensitivity / hurt feelings	emotional symptom measurement	EFO_0007803	Broad	1950
Fed-up feelings	emotional symptom measurement	EFO_0007803	Broad	1960
Nervous feelings	emotional symptom measurement	EFO_0007803	Broad	1970
Guilty feelings	emotional symptom measurement	EFO_0007803	Broad	2030
Risk taking	behavioural disinhibition measurement	EFO_0006946	Broad	2040
Overall health rating	self rated health	EFO_0004778	Exact	2178
Number of live births	birth measurement	EFO_0006921	Broad	2734
General pain for 3+ months	Chronic pain	HP_0012532	Exact	2956
Chest pain or discomfort walking normally	chest pain	HP_0100749	Broad	3606
Chest pain due to walking ceases when standing still	chest pain	HP_0100749	Broad	3616
Chest pain or discomfort when walking uphill or hurrying	chest pain	HP_0100749	Broad	3751
Knee pain for 3+ months	knee pain	HP_0030839	Broad	3773
Number of spontaneous miscarriages	spontaneous abortion	EFO_1001255	Exact	3839
"Heel bone mineral density (BMD) T-score, automated (left)"	bone density	EFO_0003923	Broad	4106
"Heel bone mineral density (BMD) T-score, automated (right)"	bone density	EFO_0003923	Broad	4125
Pulse wave reflection index	reflection wave amplitude	NCIT_C122090	?	4195
Family relationship satisfaction	wellbeing measurement  || family relaitonship	"EFO_0007869, EFO_0004424"	Broad	4559
Maximum workload during fitness test	exercise test	EFO_0004328	Broad	6032
Prospective memory result	episodic memory	EFO_0004333	Broad	20018
Cough on most days	cough	HP_0012735	Exact	22502
Years of cough on most days	cough	HP_0012735	Exact	22503
liver/biliary/pancreas problem	liver disease  || biliary tract disease  || pancreas disease	"EFO_0001421, EFO_0009534, EFO_0009605"	Exact	20002_1136
psychological/psychiatric problem	mental or behavioural disorder	EFO_0005407	?	20002_1243
head injury	head injury	EFO_0009505	Exact	20002_1266
gynaecological disorder (not cancer)	female reproductive system disease	EFO_0009549	Exact	20002_1348
peripheral nerve injury	peripheral nerve injury	EFO_0009510	Exact	20002_1394
fracture jaw	jaw fracture	EFO_0009612	Exact	20002_1627
fracture nose	nose injury	EFO_0009623	Exact	20002_1628
fracture face / orbit / eye socket	orbital fracture	EFO_0009611	Narrow	20002_1629
fracture clavicle / collar bone	clavicle facture	EFO_0009614	Exact	20002_1631
fracture shoulder / scapula	shoulder fracture	EFO_0009621	Exact	20002_1632
fracture forearm / wrist	wrist fracture	EFO_0009515	Exact	20002_1634
fracture wrist / colles fracture	wrist fracture	EFO_0009515	Exact	20002_1637
fracture hand	hand fracture	NCIT_C27161	Exact	20002_1638
fracture finger	finger fracture	EFO_0009616	Exact	20002_1639
fracture thumb	finger fracture	EFO_0009616	Broad	20002_1640
fracture rib	rib fracture	EFO_0009620	Exact	20002_1644
fracture pelvis	facture of pelvis	EFO_0009622	Exact	20002_1647
fracture neck of femur / hip	femur fracture  || hip fracture	"EFO_0008553, EFO_0003964"	Broad	20002_1648
fracture shaft of femur	femur fracture	EFO_0008553	Broad	20002_1649
fracture patella / knee	knee fracture	EFO_0009617	Exact	20002_1650
fracture lower leg / ankle	ankle fracture  || lower extremity fracture	"EFO_0009615, EFO_0009512"	Exact	20002_1651
fracture fibula	fibula fracture	EFO_0009613	Exact	20002_1653
fracture foot	foot fracture	EFO_0009618	Exact	20002_1654
fracture metatarsal	bone fracture	EFO_0003931	Broad	20002_1655
fracture toe	foot fracture	EFO_0009618	Broad	20002_1656
Hair/balding pattern: Pattern 2	androgenic alopecia  || balding measurement	"EFO_0004191, EFO_0007825"	Broad	2395_2
Hair/balding pattern: Pattern 3	androgenic alopecia  || balding measurement	"EFO_0004191, EFO_0007825"	Broad	2395_3
Hair/balding pattern: Pattern 4	androgenic alopecia  || balding measurement	"EFO_0004191, EFO_0007825"	Broad	2395_4
Hand grip strength (left)	grip strength measurement	EFO_0006941	Exact	46
Hand grip strength (right)	grip strength measurement	EFO_0006941	Exact	47
"Heel bone mineral density (BMD) T-score, automated"	heel bone mineral density	EFO_0009270	Exact	78
Age completed full time education	self reported educational attainment	EFO_0004784	Exact	845
Daytime dozing / sleeping (narcolepsy)	excessive daytime sleepiness  || narcolepsy without cataplexy	"EFO_0007875, EFO_0005855"	Exact	1220
Current tobacco smoking	smoking behavior	EFO_0004318	Broad	1239
Past tobacco smoking	smoking cessation	EFO_0004319	Broad	1249
Exposure to tobacco smoke at home	environmental tobacco smoke exposure measurement	EFO_0008361	Broad	1269
Exposure to tobacco smoke outside home	environmental tobacco smoke exposure measurement	EFO_0008361	Broad	1279
Worrier / anxious feelings	anxiety	EFO_0005230	Exact	1980
Frequency of depressed mood in last 2 weeks	emotional symptom measurement	EFO_0007803	Broad	2050
Frequency of unenthusiasm / disinterest in last 2 weeks	emotional symptom measurement	EFO_0007803	Broad	2060
Diabetes diagnosed by doctor	diabetes mellitus	EFO_0000400	Exact	2443
Cancer diagnosed by doctor	cancer	EFO_0000311	Exact	2453
Fractured/broken bones in last 5 years	bone fracture	EFO_0003931	Exact	2463
"Ever had stillbirth, spontaneous miscarriage or termination"	spontaneous abortion	EFO_1001255	Broad	2774
Ever used hormone-replacement therapy (HRT)	hormone replacement therapy	EFO_0003961	Exact	2814
Fracture resulting from simple fall	bone fracture	EFO_0003931	Broad	3005
Facial pains for 3+ months	facial pain	EFO_0009625	Broad	4067
Longest period of depression	depressive episode measurement	EFO_0007704	Exact	4609
Number of depression episodes	depressive episode measurement	EFO_0007704	Exact	4620
Longest period of unenthusiasm / disinterest	emotional symptom measurement	EFO_0007803	Broad	5375
Mean time to correctly identify matches	reaction time measurement	EFO_0008393	Broad	20023
Creatinine (enzymatic) in urine	creatine clearance measurement	EFO_0007934	Exact	30510
Handedness (chirality/laterality): Left-handed	functional laterality	EFO_0003889	Broad	1707_2
Handedness (chirality/laterality): Use both right and left hands equally	functional laterality	EFO_0003889	Broad	1707_3
sarcoma/fibrosarcoma	sarcoma  || fibrosarcoma	"EFO_0000691, EFO_0002087"	Exact	20001_1068
cin/pre-cancer cells cervix	dysplasia of cervix	EFO_1000910	Exact	20001_1072
rodent ulcer	basal cell carcinoma	EFO_0004193	?	20001_1073
heart valve problem/heart murmur	heart valve disease	EFO_0009551	Exact	20002_1078
pericardial problem	pericarditis	EFO_0007427	Exact	20002_1080
other respiratory problems	respiratory system disease	EFO_0000684	Exact	20002_1117
oesophageal disorder	esophageal disease	EFO_0009544	Exact	20002_1134
stomach disorder	stomach disease	EFO_0009608	Exact	20002_1135
non-infective hepatitis	hepatitis	HP_0012115	Broad	20002_1157
renal failure requiring dialysis	kidney failure	EFO_1002048	Broad	20002_1193
renal failure not requiring dialysis	kidney failure	EFO_1002048	Broad	20002_1194
parathyroid gland problem (not cancer)	parathyroid disease	EFO_0005754	Exact	20002_1229
meningitis	infectious meningitis	EFO_0000584	?	20002_1247
chronic/degenerative neurological problem	neurodegenerative disease	EFO_0005772	Exact	20002_1258
anxiety/panic attacks	anxiety  || panic disorder	"EFO_0005230, EFO_0004262"	Exact	20002_1287
muscle/soft tissue problem	soft tissue disease	EFO_0009470	Exact	20002_1297
spine arthritis/spondylitis	"osteoarthritis, spine"	EFO_1000787	Narrow	20002_1311
prolapsed disc/slipped disc	lumbar disc herniation	EFO_1002005	Narrow	20002_1312
other renal/kidney problem	kidney disease	EFO_0003086	Exact	20002_1405
bronchitis	bronchial disease	EFO_1002018	Broad	20002_1412
other joint disorder	joint disease	EFO_1000999	Exact	20002_1467
diabetic neuropathy/ulcers	diabetic neuropathy	EFO_1000783	Exact	20002_1468
cervical spondylosis	"spondylosis, cervical"	EFO_0009610	Exact	20002_1478
svt / supraventricular tachycardia	supraventricular tachycardia	HP_0004755	Exact	20002_1487
anal problem	abnormality of the anus	HP_0004378	Exact	20002_1503
macular degeneration	macular degeneration	EFO_0009606	Exact	20002_1528
bowel / intestinal obstruction	gastrointestinal obstruction	HP_0004796	Exact	20002_1602
stress	psychosocial stress measurement	EFO_1001920	?	20002_1614
fracture upper arm / humerus / elbow	upper extremity fracture	EFO_0009514	Broad	20002_1633
fracture vertebra / crush fracture / vertebral collapse	spinal fracture	EFO_0003902	Broad	20002_1646
allergy to house dust mite	response to biological dust exposure	EFO_0006992	Broad	20002_1668
benign neuroma	neuroma	EFO_0009619	Exact	20002_1683
Hearing difficulty/problems: I am completely deaf	deafness	EFO_0001063	Exact	2247_99
Which eye(s) are affected by cataract: Right eye	cataract	EFO_0001059	Exact	5441_1
Which eye(s) are affected by cataract: Left eye	cataract	EFO_0001059	Exact	5441_2
Number of self-reported cancers	cancer	EFO_0000311	Broad	134
Number of self-reported non-cancer illnesses	disease	EFO_0000408	Broad	135
"Number of operations, self-reported"	medical prodecure	EFO_0002571	Broad	136
Number of treatments/medications taken	treatment	EFO_0000727	Broad	137
Townsend deprivation index at recruitment		EFO_0009711	Broad	189
Number of incorrect matches in round	cognitive function measurement	EFO_0008354	Broad	399
Getting up in morning				1170
Nap during day	Need to sleep during day	NCIT_C118602	?	1190
Comparative body size at age 10	body height	EFO_0004339	Broad	1687
Father's age at death	age at death	EFO_0009712	Exact	1807
Number of full brothers	number of siblings	EFO_0009713	Broad	1873
Number of full sisters	number of siblings	EFO:0009713	Broad	1883
Tense / 'highly strung'	feeling tense measurement	EFO:0009596	Narrow	1990
Worry too long after embarrassment	worry measurement	EFO_0009589	Broad	2000
Suffer from 'nerves'	nervousness	NCIT_C74532	Exact	2010
"Seen doctor (GP) for nerves, anxiety, tension or depression"	mental or behavioural disorder	EFO_0000677	Broad	2090
"Seen a psychiatrist for nerves, anxiety, tension or depression"	mental or behavioural disorder	EFO_0000677	Broad	2100
"Long-standing illness, disability or infirmity"	chronic	EFO_0009714	Broad	2188
Falls in the last year	fall	EFO_0009631	Broad	2296
Wheeze or whistling in the chest in last year	wheezing	EFO_0009715	Broad	2316
Relative age of first facial hair	puberty onset measurement	EFO_0009716	Exact	2375
Number of children fathered	number of children ever born measurement	EFO_000910	Broad	2405
Birth weight of first child	birth weight	EFO_0004344	Broad	2744
Age at first live birth	age at first birth measurement	EFO_0009101	Exact	2754
Age at last live birth	age at last pregnancy	EFO_0009440	Broad	2764
Bilateral oophorectomy (both ovaries removed)	bilateral oophorectomy	EFO_0009717	Exact	2834
Peak expiratory flow (PEF)	peak expiratory flow	EFO_0009718	Exact	3064
Pace-maker	cardiac pacemaker	EFO_0009719	Exact	3079
Hearing aid user	hearing assistance system/able to hear with hearing aids	EFO_0009720	Broad	3393
Mother's age at death	age at death	EFO_0009721	Exact	3526
Number of stillbirths	?	EFO_0009722	Exact	3829
Age of primiparous women at birth of child	age at first birth measurement	EFO_0009101	Exact	3872
Pulse wave reflection index	reflection wave amplitude	NCIT_C122090	?	4195
Happiness	emotional symptom measurement	EFO_0007803	Broad	4526
Work/job satisfaction	job satisfaction	EFO_0009723	Exact	4537
Health satisfaction	satisfaction	EFO_0009724	Exact	4548
Friendships satisfaction	satisfaction	EFO_0009725	Exact	4570
Financial situation satisfaction	satisfied with current financial situation	EFO_0009726	Exact	4581
Ever depressed for a whole week	depressive episode measurement	EFO_0007704	Broad	4598
Ever unenthusiastic/disinterested for a whole week	depressive symptom measurement	EFO_0007006	Broad	4631
Ever manic/hyper for 2 days	manic episode measurement	EFO_0007705	Exact	4642
Ever highly irritable/argumentative for 2 days	irritability measurement	EFO_0009594	Exact	4653
Shortness of breath walking on level ground	have shortness of breath	EFO_0009727	Broad	4717
Cochlear implant	cochlear implants	EFO_0009728	Exact	4792
Tinnitus severity/nuisance	tinnitus	HP_0000360	Broad	4814
Number of unenthusiastic/disinterested episodes	depressive episode measurement	EFO_0007704	Broad	5386
Surgery on leg arteries (other than for varicose veins)	medical procedure	EFO_0009729	Broad	5529
Length of longest manic/irritable episode	manic episode measurement||irritability measurement	EFO_0007705||EFO_0009594	Exact	5663
Severity of manic/irritable episodes	manic episode measurement||irritability measurement	EFO_0007705||EFO_0009594	Exact	5674
Able to walk or cycle unaided for 10 minutes	physical activity	EFO_0003940	Broad	6017
Target heart rate achieved	heart rate	EFO_0004326	Broad	6034
Sitting height	sitting height ratio	EFO_0007118	Exact	20015
Cascot confidence score	quantitative confidence value	OBI_0000071	?	20121
Bring up phlegm/sputum/mucus on most days	?	?	?	22504
Whole body water mass	body weight	EFO_0004338	?	23102
Reported occurrences of cancer	cancer	EFO_0000311	Exact	40009
Procreative_management	family planning services	OMIT_0006417	Exact?	Z31
other abdominal problem	pain in abdomen	EFO_0003766	Narrow	20002_1137
oesophageal stricture	esophageal stricture	HP_0002043	Exact	20002_1140
bladder problem (not cancer)	bladder disease	EFO_1000018	Exact	20002_1201
prostate problem (not cancer)	prostate disease	EFO_0009602	Exact	20002_1207
testicular problems (not cancer)	testicular disease	EFO_0009601	Exact	20002_1214
thyroid problem (not cancer)	thyroid disease	EFO_1000627	Exact	20002_1224
thyroid radioablation therapy	thyroid radioablation therapy	EFO_0009600	Exact	20002_1228
adrenocortical insufficiency/addison's disease	adrenocortical insufficiency	EFO_0009491	Exact	20002_1234
neurological injury/trauma	nervous system injury	EFO_0009490	Exact	20002_1240
eye/eyelid problem	eye disease	EFO_0003966	Broad	20002_1242
cranial nerve problem/palsy	cranial nerve palsy	EFO_0009489	Exact	20002_1249
spinal cord disorder	spinal cord disease	EFO_0009488	Exact	20002_1251
peripheral nerve disorder	peripheral nervous system disease	EFO_0009387	Exact	20002_1254
trapped nerve/compressed nerve	nerve compression syndrome	EFO_0009487	Exact	20002_1257
diabetic eye disease	diabetic eye disease	EFO_0009486	Exact	20002_1276
eye trauma	eye injury	EFO_0009485	Exact	20002_1279
nervous breakdown	mental or behavioural disorder	EFO_0000677	Broad	20002_1288
back problem	back pain	HP_0003418	Exact	20002_1294
uterine polyps	uterine polyp	EFO_0009484	Exact	20002_1352
breast disease (not cancer)	breast disease	EFO_0009483	Broad	20002_1364
allergy or anaphylactic reaction to drug	drug allergy	EFO_0009482	Exact	20002_1386
enlarged prostate	benign prostatic hyperplasia	EFO_0000284	Exact	20002_1396
muscle or soft tissue injuries	injury	EFO_0000546	Broad	20002_1406
burns	burn	EFO_0009516	Exact	20002_1407
nasal/sinus disorder	paranasal sinus disease	EFO_0009481	Exact	20002_1413
throat or larynx disorder	throat disease	EFO_0009479	Exact	20002_1414
vocal cord polyp	vocal cord polyp	EFO_0009478	Exact	20002_1419
other neurological problem	nervous system disease	EFO_0000618	Exact	20002_1434
clotting disorder/excessive bleeding	blood coagulation disease	EFO_0009314	Exact	20002_1445
hereditary/genetic haematological disorder	hematologic disease	EFO_0005803	Broad	20002_1451
blistering/desquamating skin disorder	bullous skin disease	EFO_1000673	Narrow	20002_1454
disc problem	vertebral joint disease	EFO_0009477	Exact	20002_1532
neck problem/injury	neck injury	EFO_0009476	Broad	20002_1545
cervical polyps	cervical polyp	EFO_0009475	Exact	20002_1555
soft tissue inflammation	soft tissue disease	EFO_0009470	Broad	20002_1618
abnormal smear (cervix)	abnormal PAP smear	EFO_0009511	Exact	20002_1663
benign breast lump	breast fibrocystic disease	EFO_0003014	Exact	20002_1666
Problems_related_to_social_environment	social problems	OMIT_0013827	?	Z60
Problems_related_to_life_management_difficulty	?	?	?	Z73
Volume_depletion	?	?	?	E86
Spondylopathies_in_diseases_classified_elsewhere	vertebral joint disease	EFO_0009477	?	M49
Shoulder_lesions	NA	Problematic	Problematic	M75
Maternal_care_for_known_or_suspected_malpresentation_of_fetus	NA	Problematic	Problematic	O32
Maternal_care_for_known_or_suspected_disproportion	NA	Problematic	Problematic	O33
Maternal_care_for_known_or_suspected_abnormality_of_pelvic_organs	NA	Problematic	Problematic	O34
Long_labour	birthing labor	NCIT_C92743	?	O63
Perineal_laceration_during_delivery	first degree perineal laceration	NCIT_C114104	Narrow	O70
Other_obstetric_trauma	obstetric labor complications	OMIT_0008847	Broad	O71
Complications_of_anaesthesia_during_the_puerperium	complication of the puerperium	DOID_3022	Broad	O89
Intrauterine_hypoxia	hypoxia	EFO_0009444	Broad	P20
Abnormal_serum_enzyme_levels	liver enzyme measurement	EFO_0004582	?	R74
Injury_of_blood_vessels_at_neck_level	injury	EFO_0000546	?	S15
Injury_of_other_intrathoracic_organs	injury	EFO_0000546	?	S27
Injury_of_blood_vessels_at_abdomen_lower_back_and_pelvis_level	injury	EFO_0000546	?	S35
Injury_of_blood_vessels_at_shoulder_and_upper_arm_level	injury	EFO_0000546	?	S45
Other_fluke_infections	infectious disease	EFO_0005741	Broad	B66
Other_postsurgical_states	NA	Problematic	Problematic	Z98
Acquired_haemolytic_anaemia	hemolytic anemia	EFO_0005558	Broad	D59
Artificial_opening_status	opening	NCIT_C61378	?	Z93
Persons encountering health services in other circumstances	NA	Problematic	Problematic	Z76
"Persons encountering health services for other counselling and medical advice, not elsewhere classified"	NA	Problematic	Problematic	Z71
Hereditary_ataxia	hereditary ataxia	EFO_0009671	Exact	G11
Mycetoma	eumycotic mycetoma	EFO_0007265	Exact	B47
Viral_warts	warts	EFO_0009662	Exact	B07
